Dates;Flow_Rate_L_Andelle_a_Vascoeuil;Flow_Rate_L_Austreberthe_a_Saint_Paer;Flow_Rate_L_Elure_a_Cailly_sur_Eure;Flow_Rate_L_Epte_a_Fourges;Flow_Rate_L_Eure_a_Louviers;Flow_Rate_La_Durdent_a_Vittefleur;Flow_Rate_La_Ganzeville_a_Ganzeville;Flow_Rate_La_Saane_a_Val_de_Saane;Flow_Rate_Le_Cailly_a_Notre_Dame_de_Bondeville_x;Flow_Rate_Le_Cailly_a_Fontaine_le_Bourg__Grand_Tendos;Flow_Rate_Le_Cailly_a_Notre_Dame_de_Bondeville_y;Flow_Rate_Le_Commerce_a_Gruchet_le_Valasse;Flow_Rate_La_Seine_a_Alfortville;Flow_Rate_La_Risle_A_Pont_Authou;Surface_Water_Level_L_Andelle_a_Vascoeuil;Surface_Water_Level_L_Austreberthe_a_Saint_Paer;Surface_Water_Level_L_Elure_a_Cailly_sur_Eure;Surface_Water_Level_L_Epte_a_Fourges;Surface_Water_Level_L_Eure_a_Louviers;Surface_Water_Level_La_Durdent_a_Vittefleur;Surface_Water_Level_La_Ganzeville_a_Ganzeville;Surface_Water_Level_La_Saane_a_Val_de_Saane;Surface_Water_Level_Le_Cailly_a_Notre_Dame_de_Bondeville;Surface_Water_Level_Le_Cailly_a_Fontaine_le_Bourg__Grand_Tendos;Surface_Water_Level_Le_Commerce_a_Gruchet_le_Valasse;Surface_Water_Level_La_Seine_A_Alfortville;Surface_Water_Level_La_Risle_A_Pont_Authou;Water_Level_Caudebec;Water_Level_Tancarville;Water_Level_Duclair;Water_Level_Honfleur;Water_Level_Rouen;Rainfall_Dieppe;Rainfall_Octeville;Rainfall_Rouen;Temperature_Dieppe;Temperature_Octeville;Temperature_Rouen;Cote_NGF_BSS000EPAR;Cote_NGF_BSS000FGNF;Cote_NGF_BSS000FHCQ;Cote_NGF_BSS000FLDL;Cote_NGF_BSS000FLJZ;Cote_NGF_BSS000FLMB;Cote_NGF_BSS000GTXB;Cote_NGF_BSS000MRWS;Tide (m)
16/08/2005;2.46;1.19;8.73;4.38;14.9;3.02;0.725;0.275;1.79;0.468;1.79;0.177;104.0;5.87;0.52;0.23;0.84;0.88;-0.12;0.23;0.55;0.05;0.4;0.33;0.07;0.75;0.01;6.73;6.93;6.74;6.88;6.78;0.0;0.0;0.0;8.7;10.6;16.5;141.87;54.91;28.65;72.45;101.37;114.9;53.83;127.88;4.872
17/08/2005;2.59;1.2;8.68;4.24;14.9;3.06;0.724;0.264;1.76;0.378;1.76;0.169;95.2;5.8;0.53;0.23;0.84;0.87;-0.12;0.23;0.55;0.05;0.4;0.32;0.07;0.66;0.01;7.16;7.39;6.84;7.37;6.95;0.0;0.0;0.0;12.8;13.2;19.9;141.85;54.91;28.65;72.46;101.36;114.87;53.83;127.87;4.897
18/08/2005;2.46;1.16;8.73;4.11;14.8;3.09;0.858;0.265;1.81;0.387;1.81;0.169;96.6;5.87;0.52;0.22;0.84;0.87;-0.12;0.24;0.57;0.05;0.4;0.32;0.07;0.8;0.01;7.61;7.86;7.14;7.81;7.41;3.2;0.4;1.4;14.5;14.9;21.6;141.84;54.91;28.65;72.46;101.36;114.87;53.85;127.87;4.952
19/08/2005;2.51;3.07;8.64;4.05;14.9;3.92;0.841;0.347;2.3;0.409;2.3;1.98;109.0;5.95;0.53;0.44;0.84;0.86;-0.12;0.31;0.56;0.06;0.45;0.32;0.39;0.78;0.01;7.84;8.24;7.6;8.17;7.83;13.0;6.4;0.8;15.6;14.9;16.6;141.84;54.91;28.63;72.46;101.36;114.85;53.85;127.88;4.983
20/08/2005;2.73;3.27;8.76;4.06;15.2;3.14;0.783;0.404;2.04;0.4;2.04;0.721;104.0;5.98;0.54;0.46;0.85;0.86;-0.1;0.24;0.56;0.07;0.43;0.32;0.21;0.88;0.02;7.99;8.35;7.8;8.34;7.99;0.6;0.0;4.4;13.5;14.2;14.4;141.84;54.91;28.63;72.46;101.36;114.81;53.85;127.86;4.928
21/08/2005;2.43;1.2;9.39;4.09;15.7;3.09;0.737;0.27;1.76;0.546;1.76;0.166;97.5;5.91;0.52;0.23;0.87;0.86;-0.08;0.24;0.55;0.05;0.4;0.34;0.07;0.91;0.01;8.2;8.48;7.89;8.44;8.06;0.0;0.0;0.0;16.8;13.9;16.1;141.84;54.89;28.63;72.45;101.36;114.79;53.85;127.83;4.894
22/08/2005;2.62;1.18;9.58;4.12;15.6;3.17;0.762;0.268;1.76;0.395;1.76;1.74;96.8;6.37;0.53;0.23;0.88;0.87;-0.08;0.25;0.55;0.05;0.4;0.32;0.36;0.9;0.04;8.34;8.34;8.05;8.39;8.18;8.2;10.8;5.8;13.2;15.3;16.4;141.83;54.89;28.63;72.45;101.35;114.79;53.85;127.82;4.933
23/08/2005;2.43;1.17;9.66;4.59;15.7;3.21;0.772;0.285;1.8;0.402;1.8;0.226;94.0;6.23;0.52;0.23;0.88;0.89;-0.08;0.25;0.55;0.05;0.4;0.32;0.09;0.72;0.03;8.35;8.44;8.13;8.38;8.28;0.0;0.0;0.4;15.1;14.8;15.4;141.83;54.89;28.63;72.45;101.35;114.78;53.85;127.83;4.934
24/08/2005;2.42;1.81;10.0;4.18;15.9;3.25;0.769;0.299;2.09;0.431;2.09;0.607;106.0;6.21;0.52;0.31;0.89;0.87;-0.07;0.25;0.55;0.05;0.43;0.32;0.19;0.61;0.03;7.99;8.12;7.8;8.06;8.0;14.2;20.0;19.6;11.2;12.9;13.9;141.81;54.89;28.63;72.45;101.35;114.76;53.83;127.8;4.973
25/08/2005;2.88;1.96;10.3;4.38;17.3;3.42;0.82;0.309;2.38;0.461;2.38;1.01;117.0;6.54;0.55;0.33;0.9;0.88;-0.02;0.27;0.56;0.06;0.46;0.33;0.26;0.76;0.04;7.84;7.86;7.67;7.89;7.92;0.8;1.2;2.2;14.0;13.9;14.5;141.81;54.91;28.62;72.46;101.35;114.74;53.85;127.8;5.104
26/08/2005;2.83;1.18;11.4;4.39;16.7;3.28;0.779;0.274;1.82;0.578;1.82;0.174;105.0;6.28;0.54;0.23;0.93;0.88;-0.04;0.26;0.55;0.05;0.41;0.34;0.07;0.82;0.03;7.29;7.43;7.26;7.38;7.52;2.8;0.0;0.0;12.5;13.9;14.1;141.81;54.89;28.62;72.47;101.35;114.74;53.85;127.8;4.998
27/08/2005;2.5;1.18;11.4;4.29;17.2;3.07;0.757;0.275;1.76;0.374;1.76;0.179;106.0;6.21;0.53;0.23;0.93;0.87;-0.02;0.24;0.55;0.05;0.4;0.32;0.08;0.74;0.03;6.73;6.87;6.65;6.83;6.89;0.2;0.0;0.0;11.5;13.9;16.0;141.81;54.89;28.63;72.46;101.35;114.72;53.83;127.78;4.938
28/08/2005;2.42;1.17;10.3;4.1;16.4;3.06;0.74;0.275;1.75;0.374;1.75;0.208;105.0;6.07;0.52;0.23;0.9;0.86;-0.05;0.23;0.55;0.05;0.4;0.32;0.09;0.78;0.02;6.26;6.32;6.24;6.26;6.47;0.0;0.0;0.0;10.4;11.0;17.5;141.8;54.87;28.63;72.46;101.35;114.67;53.83;127.81;4.879
29/08/2005;2.4;1.16;9.89;4.0;16.0;3.06;0.718;0.269;1.74;0.374;1.74;0.177;112.0;5.97;0.52;0.22;0.89;0.86;-0.06;0.23;0.55;0.05;0.4;0.32;0.07;0.8;0.02;6.25;6.32;6.27;6.28;6.49;0.0;0.0;0.0;11.6;11.0;18.8;141.8;54.86;28.62;72.46;101.35;114.67;53.83;127.8;4.87
30/08/2005;2.34;1.17;9.88;3.91;16.0;3.04;0.736;0.275;1.88;0.395;1.88;0.177;96.6;6.0;0.52;0.22;0.89;0.85;-0.05;0.23;0.55;0.05;0.41;0.32;0.07;0.66;0.02;6.48;6.6;6.43;6.48;6.45;0.2;0.0;0.0;11.0;13.3;21.5;141.78;54.84;28.62;72.46;101.34;114.65;53.83;127.79;4.868
31/08/2005;2.28;1.17;9.71;4.07;15.9;3.07;0.641;0.266;1.79;0.38;1.79;0.219;106.0;5.91;0.51;0.22;0.88;0.86;-0.06;0.24;0.54;0.05;0.4;0.32;0.09;0.52;0.01;7.04;7.17;6.68;7.14;6.84;0.0;0.0;0.0;17.0;19.3;24.0;141.78;54.84;28.62;72.47;101.34;114.65;53.83;127.79;4.962
01/09/2005;2.44;1.17;9.79;4.0;15.3;2.99;0.655;0.28;1.79;0.375;1.79;0.174;90.8;5.86;0.52;0.22;0.89;0.85;-0.08;0.23;0.54;0.05;0.4;0.32;0.07;0.49;0.01;7.16;7.33;6.97;7.28;7.2;0.0;0.0;0.2;6.3;7.0;8.0;141.78;54.84;28.62;72.47;101.34;114.63;53.83;127.8;4.944
02/09/2005;2.35;1.16;9.38;3.83;15.3;3.0;0.647;0.268;1.84;0.387;1.84;0.169;97.9;5.95;0.51;0.22;0.87;0.85;-0.08;0.23;0.54;0.05;0.41;0.32;0.07;0.56;0.01;7.25;7.55;6.98;7.5;7.26;0.0;0.0;0.0;2.8;4.9;6.1;141.77;54.82;28.62;72.46;101.34;114.62;53.83;127.78;4.878
03/09/2005;2.32;1.16;9.8;3.84;15.6;2.97;0.632;0.27;1.73;0.546;1.73;0.182;90.7;5.98;0.51;0.22;0.89;0.85;-0.07;0.23;0.54;0.05;0.39;0.34;0.08;0.52;0.02;7.29;7.71;7.08;7.71;7.29;0.4;0.0;0.6;4.3;4.2;4.1;141.77;54.8;28.62;72.45;101.33;114.6;53.82;127.77;4.839
04/09/2005;2.33;1.16;9.46;3.88;14.8;3.0;0.653;0.259;1.75;0.374;1.75;0.182;89.3;5.87;0.51;0.22;0.88;0.85;-0.1;0.23;0.54;0.05;0.4;0.32;0.08;0.49;0.01;7.48;7.98;7.25;7.88;7.45;0.6;0.0;0.4;2.8;2.0;4.5;141.77;54.78;28.62;72.44;101.33;114.56;53.82;127.73;4.911
05/09/2005;2.55;1.17;9.71;3.95;14.5;2.99;0.646;0.261;1.72;0.538;1.72;0.185;90.1;5.91;0.52;0.22;0.89;0.85;-0.1;0.23;0.54;0.05;0.39;0.34;0.08;0.47;0.01;7.71;7.99;7.49;7.96;7.67;0.2;0.2;0.2;8.0;5.9;8.0;141.77;54.78;28.62;72.44;101.33;114.58;53.83;127.72;4.973
06/09/2005;2.75;1.26;10.2;3.96;15.8;3.1;0.647;0.259;1.79;0.387;1.79;0.19;92.8;5.95;0.53;0.24;0.9;0.85;-0.06;0.24;0.54;0.05;0.4;0.32;0.08;0.42;0.01;7.73;7.86;7.46;7.9;7.74;0.2;0.0;0.0;8.2;8.2;13.8;141.77;54.8;28.62;72.43;101.33;114.54;53.82;127.71;4.996
07/09/2005;2.75;1.15;11.5;3.9;16.4;3.07;0.657;0.27;1.75;0.538;1.75;0.157;86.1;5.96;0.53;0.22;0.94;0.84;-0.04;0.24;0.54;0.05;0.4;0.34;0.07;0.48;0.02;7.74;7.93;7.52;7.91;7.74;0.0;0.2;0.2;13.6;14.5;16.2;141.77;54.8;28.62;72.42;101.33;114.53;53.82;127.68;4.998
08/09/2005;2.52;1.15;10.6;3.89;15.6;3.01;0.648;0.285;1.82;0.383;1.82;0.159;98.7;5.96;0.52;0.22;0.91;0.84;-0.06;0.23;0.54;0.05;0.41;0.32;0.07;0.48;0.02;7.61;7.85;7.45;7.84;7.61;0.2;0.0;0.2;8.6;9.7;16.0;141.76;54.78;28.62;72.41;101.33;114.51;53.8;127.66;4.994
09/09/2005;2.74;1.18;12.9;3.89;15.9;3.25;0.657;0.285;1.95;0.476;1.95;0.216;103.0;6.45;0.53;0.23;0.98;0.84;-0.05;0.25;0.54;0.05;0.42;0.33;0.09;0.68;0.04;7.52;7.7;7.32;7.68;7.55;0.6;0.0;9.4;16.7;15.2;20.0;141.76;54.78;28.62;72.41;101.32;114.51;53.82;127.63;5.016
10/09/2005;2.71;1.33;13.2;4.01;18.0;3.15;0.657;0.265;2.02;0.546;2.02;0.219;102.0;6.17;0.53;0.25;0.99;0.84;0.02;0.24;0.54;0.05;0.42;0.34;0.09;0.69;0.03;7.28;7.46;7.17;7.44;7.39;0.0;0.0;0.2;13.9;11.5;14.4;141.76;54.78;28.62;72.54;101.32;114.49;53.8;127.63;5.016
11/09/2005;2.68;1.16;12.1;4.24;17.8;3.08;0.683;0.294;1.77;0.483;1.77;2.4;98.3;6.15;0.53;0.22;0.95;0.85;0.02;0.24;0.54;0.05;0.4;0.33;0.43;0.68;0.03;6.93;7.12;6.86;7.07;7.09;0.0;2.8;1.4;10.9;9.1;8.8;141.76;54.77;28.62;72.49;101.32;114.47;53.8;127.62;4.992
12/09/2005;2.62;1.17;11.2;4.31;17.1;3.0;0.692;0.27;1.81;0.409;1.81;0.159;122.0;6.13;0.52;0.22;0.93;0.85;-0.01;0.23;0.54;0.05;0.4;0.32;0.07;0.69;0.02;6.59;6.71;6.57;6.66;6.81;0.2;0.2;0.0;-0.1;0.8;2.0;141.76;54.77;28.62;72.47;101.32;114.47;53.8;127.62;4.925
13/09/2005;2.64;1.16;10.9;4.31;16.6;2.97;0.673;0.27;1.75;0.554;1.75;0.166;160.0;6.21;0.52;0.22;0.91;0.85;-0.03;0.23;0.54;0.05;0.4;0.34;0.07;0.54;0.03;6.4;6.49;6.42;6.43;6.68;0.0;0.0;0.0;16.6;16.6;17.8;141.74;54.73;28.62;72.46;101.32;114.44;53.8;127.58;4.882
14/09/2005;2.62;1.17;11.0;4.19;16.5;3.33;0.657;0.275;1.78;0.538;1.78;0.166;207.0;6.13;0.52;0.22;0.91;0.84;-0.03;0.26;0.54;0.05;0.4;0.34;0.07;0.67;0.02;7.01;7.09;6.96;7.09;7.03;1.2;1.0;0.8;15.5;16.3;17.9;141.73;54.71;28.63;72.46;101.32;114.42;53.8;127.6;4.963
15/09/2005;2.76;1.16;11.1;4.1;16.7;3.11;0.701;0.27;1.76;0.409;1.76;0.255;132.0;6.34;0.53;0.22;0.92;0.84;-0.02;0.24;0.54;0.05;0.4;0.32;0.1;0.77;0.03;7.52;7.55;7.21;7.59;7.19;12.4;4.6;8.2;17.2;17.0;18.6;141.71;54.71;28.63;72.45;101.32;114.42;53.8;127.61;5.035
16/09/2005;2.77;1.62;13.3;4.1;17.1;4.53;0.858;0.314;1.94;0.587;1.94;0.706;128.0;5.96;0.53;0.29;0.98;0.84;-0.01;0.36;0.56;0.06;0.42;0.34;0.21;0.94;0.02;7.61;7.94;7.41;7.91;7.6;9.8;13.6;2.0;12.6;12.4;13.4;141.71;54.71;28.62;72.45;101.32;114.4;53.79;127.6;4.997
17/09/2005;2.53;1.16;11.8;4.0;16.9;3.52;0.762;0.294;1.73;0.387;1.73;0.271;139.0;5.95;0.52;0.22;0.94;0.83;-0.01;0.28;0.55;0.05;0.39;0.32;0.11;0.98;0.01;7.81;8.06;7.54;8.06;7.79;0.0;0.0;1.2;11.0;9.3;10.4;141.71;54.68;28.62;72.44;101.32;114.38;53.79;127.6;4.865
18/09/2005;2.47;1.16;11.7;4.01;16.4;3.17;0.762;0.262;1.73;0.371;1.73;0.177;124.0;5.87;0.51;0.22;0.93;0.83;-0.03;0.25;0.55;0.05;0.39;0.32;0.07;1.01;0.01;8.08;8.42;7.81;8.38;7.98;0.2;0.0;0.0;6.2;6.5;11.5;141.7;54.68;28.63;72.44;101.32;114.38;53.79;127.55;4.864
19/09/2005;2.5;1.15;11.9;4.15;17.2;3.12;0.762;0.259;1.71;0.374;1.71;0.171;118.0;6.07;0.51;0.22;0.94;0.83;-0.0;0.24;0.55;0.05;0.39;0.32;0.07;0.95;0.02;8.29;8.44;7.94;8.37;8.2;0.0;0.2;0.2;4.9;7.0;12.2;141.7;54.66;28.63;72.44;101.32;114.35;53.79;127.55;4.9
20/09/2005;2.44;1.15;10.9;4.06;16.6;3.18;0.762;0.261;1.73;0.554;1.73;0.185;113.0;5.87;0.51;0.22;0.91;0.83;-0.02;0.25;0.55;0.05;0.39;0.34;0.08;0.89;0.01;8.31;8.34;8.08;8.33;8.26;0.4;0.2;0.4;6.8;7.8;12.4;141.69;54.64;28.63;72.44;101.31;114.35;53.79;127.56;4.91
21/09/2005;2.5;1.14;11.1;4.03;16.6;3.65;0.744;0.263;1.81;0.366;1.81;0.179;96.8;5.76;0.51;0.21;0.91;0.82;-0.02;0.29;0.55;0.05;0.4;0.32;0.08;0.84;0.0;8.17;8.15;7.87;8.19;8.08;0.2;0.4;0.0;7.3;7.4;14.1;141.67;54.64;28.63;72.44;101.31;114.35;53.79;127.56;4.885
22/09/2005;2.48;1.14;10.9;4.05;16.6;3.82;0.657;0.265;1.71;0.498;1.71;0.174;97.03478260869565;5.74;0.51;0.22;0.9;0.82;-0.02;0.3;0.54;0.05;0.39;0.33;0.07;0.78;0.0;7.93;8.02;7.71;8.01;7.9;0.0;0.0;0.0;7.1;8.9;14.7;141.67;54.64;28.65;72.44;101.31;114.33;53.79;127.55;4.907
23/09/2005;2.43;1.17;11.1;4.05;16.9;3.09;0.65466;0.265;1.73;0.417;1.73;0.161;97.2695652173913;5.75;0.51;0.22;0.91;0.82;-0.01;0.24;0.5394;0.05;0.39;0.32;0.07;0.73;0.0;7.61;7.74;7.47;7.7;7.7;1.2;2.8;2.2;10.1;11.9;15.5;141.67;54.62;28.63;72.43;101.31;114.31;53.79;127.55;4.965
24/09/2005;2.29;1.15;11.0;3.95;16.7;3.07;0.65232;0.265;1.72;0.374;1.72;0.164;97.50434782608696;5.82;0.5;0.22;0.9;0.81;-0.02;0.24;0.5388000000000001;0.05;0.39;0.32;0.07;0.5;0.01;7.17;7.27;7.04;7.2;7.26;0.0;0.0;0.2;10.9;13.3;15.6;141.66;54.61;28.63;72.42;101.31;114.29;53.79;127.55;4.988
25/09/2005;2.38;1.14;10.9;4.08;16.7;5.44;0.64998;0.27;1.68;0.382;1.68;0.16;97.73913043478261;5.91;0.5;0.21;0.89;0.82;-0.02;0.43;0.5382;0.05;0.39;0.32;0.07;0.47;0.01;6.72;6.82;6.61;6.72;6.85;0.6;0.0;0.4;11.7;12.9;14.3;141.66;54.61;28.63;72.42;101.31;114.28;53.79;127.56;5.022
26/09/2005;2.22;1.14;11.0;4.18;16.5;3.08;0.64764;0.264;1.71;0.387;1.71;0.164;97.97391304347826;5.8;0.49;0.21;0.89;0.82;-0.02;0.24;0.5376000000000001;0.05;0.39;0.32;0.07;0.49;0.01;6.32;6.33;6.25;6.29;6.5;0.0;0.0;0.0;13.3;13.5;14.3;141.66;54.61;28.65;72.41;101.31;114.28;53.79;127.55;5.006
27/09/2005;2.25;1.15;11.0;4.16;16.3;3.17;0.6453;0.265;2.01;0.554;2.01;0.372;98.20869565217392;5.77;0.5;0.22;0.89;0.82;-0.03;0.25;0.537;0.05;0.42;0.34;0.14;0.43;0.0;6.38;6.35;6.35;6.31;6.57;4.4;5.2;3.2;14.3;13.5;13.0;141.64;54.59;28.65;72.41;101.3;114.26;53.79;127.54;5.056
28/09/2005;2.39;1.14;11.0;4.17;16.2;3.8;0.64296;0.275;1.7;0.387;1.7;0.171;98.44347826086957;5.73;0.5;0.21;0.89;0.82;-0.03;0.3;0.5364;0.05;0.39;0.32;0.07;0.46;0.0;6.57;6.63;6.5;6.56;6.72;4.6;2.0;0.8;12.5;12.6;11.8;141.64;54.59;28.65;72.41;101.3;114.26;53.79;127.53;5.019
29/09/2005;2.1;1.17;10.8;4.18;16.6;3.79;0.6406200000000001;0.275;1.72;0.514;1.72;0.208;98.67826086956522;5.74;0.49;0.23;0.88;0.82;-0.02;0.3;0.5358;0.05;0.39;0.34;0.09;0.34;0.0;7.0;7.08;6.76;7.07;6.99;0.0;0.0;0.0;12.5;13.7;12.4;141.63;54.59;28.65;72.41;101.3;114.24;53.79;127.54;5.014
30/09/2005;2.08;1.14;10.7;4.43;17.1;2.99;0.6382800000000001;0.256;1.72;0.389;1.72;0.189;98.91304347826086;6.52;0.48;0.21;0.87;0.83;0.0;0.23;0.5352;0.04;0.39;0.32;0.08;0.38;0.04;7.18;7.27;6.86;7.25;7.07;6.4;4.0;4.8;11.8;13.2;13.7;141.63;54.57;28.65;72.4;101.3;114.24;53.79;127.53;4.954
01/10/2005;2.39;1.25;10.1;4.56;17.1;3.27;0.6359400000000001;0.27;1.78;0.417;1.78;0.528;99.14782608695651;6.76;0.5;0.24;0.85;0.83;-0.0;0.26;0.5346000000000001;0.05;0.4;0.32;0.17;0.42;0.05;7.58;7.69;7.43;7.6;7.62;4.0;4.0;1.4;9.7;9.4;9.5;141.62;54.57;28.65;72.4;101.3;114.24;53.79;127.53;5.02
02/10/2005;2.43;1.29;10.9;4.66;17.5;3.45;0.6336;0.294;1.83;0.506;1.83;0.435;99.38260869565217;6.21;0.5;0.25;0.88;0.84;0.01;0.27;0.534;0.05;0.41;0.33;0.15;0.51;0.03;7.49;7.67;7.38;7.64;7.64;1.4;4.0;4.4;7.9;7.1;8.1;141.62;54.55;28.65;72.4;101.3;114.22;53.79;127.5;4.886
03/10/2005;2.33;1.14;10.8;4.65;17.4;3.8;0.63126;0.257;1.81;0.387;1.81;0.161;99.61739130434782;6.15;0.5;0.22;0.87;0.84;0.01;0.3;0.5334;0.04;0.4;0.32;0.07;0.5;0.03;7.48;7.81;7.3;7.69;7.55;0.0;0.0;0.0;4.5;3.8;4.0;141.6;54.55;28.66;72.4;101.29;114.19;53.78;127.52;4.789
04/10/2005;2.11;1.16;10.3;4.53;17.4;3.92;0.62892;0.261;1.72;0.461;1.72;0.171;99.85217391304347;6.36;0.48;0.22;0.85;0.83;0.0;0.31;0.5328;0.05;0.39;0.33;0.07;0.37;0.04;7.62;7.84;7.42;7.81;7.63;0.0;0.2;0.0;7.0;6.9;8.0;141.59;54.53;28.66;72.4;101.29;114.19;53.78;127.49;4.812
05/10/2005;2.08;1.16;10.5;4.47;17.0;3.95;0.62658;0.257;1.7;0.365;1.7;0.171;100.08695652173913;6.03;0.48;0.22;0.84;0.83;-0.01;0.31;0.5322;0.04;0.39;0.31;0.07;0.35;0.02;7.67;7.88;7.5;7.86;7.72;0.0;0.0;0.0;3.2;4.0;8.1;141.59;54.52;28.66;72.4;101.29;114.19;53.78;127.48;4.842
06/10/2005;2.1;1.13;10.7;4.48;17.2;3.05;0.62424;0.261;2.14;0.506;2.14;0.166;100.32173913043478;6.11;0.48;0.21;0.84;0.83;-0.01;0.23;0.5316000000000001;0.05;0.44;0.33;0.07;0.48;0.02;7.73;7.79;7.52;7.81;7.74;0.0;0.0;0.0;8.8;8.3;14.8;141.59;54.52;28.66;72.39;101.29;114.17;53.78;127.48;4.86
07/10/2005;2.26;1.13;11.1;4.53;17.4;3.09;0.6219;0.261;1.69;0.373;1.69;0.182;100.55652173913043;6.04;0.49;0.21;0.84;0.83;0.0;0.24;0.531;0.05;0.39;0.32;0.08;0.53;0.02;7.61;7.77;7.45;7.72;7.69;0.0;0.0;0.0;13.6;11.8;17.5;141.59;54.52;28.65;72.37;101.29;114.15;53.78;127.48;4.913
08/10/2005;2.08;1.14;12.4;4.52;18.8;3.03;0.61956;0.256;1.68;0.368;1.68;0.166;100.79130434782608;5.94;0.48;0.21;0.87;0.83;0.05;0.23;0.5304;0.04;0.39;0.32;0.07;0.57;0.01;7.56;7.62;7.4;7.66;7.64;0.0;0.2;0.0;10.3;11.5;17.8;141.59;54.52;28.65;72.37;101.29;114.13;53.78;127.49;4.964
09/10/2005;2.06;1.13;12.0;4.55;19.5;3.02;0.61722;0.256;1.7;0.363;1.7;0.179;101.02608695652174;5.91;0.48;0.21;0.85;0.83;0.07;0.23;0.5298;0.04;0.39;0.31;0.08;0.59;0.01;7.29;7.44;7.17;7.38;7.4;0.2;1.4;3.6;15.7;15.8;16.0;141.59;54.52;28.65;72.36;101.29;114.13;53.78;127.49;4.933
10/10/2005;2.12;1.14;10.2;4.56;18.5;3.13;0.61488;0.251;1.71;0.388;1.71;0.157;101.26086956521739;5.96;0.48;0.21;0.8;0.83;0.03;0.24;0.5292;0.04;0.39;0.32;0.07;0.4;0.02;6.88;7.0;6.81;6.97;7.09;0.0;0.0;0.0;11.7;11.1;16.7;141.58;54.5;28.65;72.36;101.29;114.1;53.78;127.48;4.945
11/10/2005;2.02;1.14;10.6;4.74;17.1;3.03;0.6125400000000001;0.251;1.75;0.417;1.75;0.157;101.49565217391304;5.94;0.47;0.21;0.8;0.84;-0.02;0.23;0.5286000000000001;0.04;0.4;0.32;0.07;0.37;0.01;6.69;6.81;6.65;6.72;6.92;0.2;0.0;0.0;5.8;7.3;7.6;141.56;54.5;28.65;72.36;101.29;114.1;53.78;127.47;5.018
12/10/2005;2.03;1.21;10.2;4.45;17.7;3.61;0.6102000000000001;0.27;1.83;0.554;1.83;0.372;101.7304347826087;5.96;0.47;0.23;0.79;0.82;-0.01;0.28;0.528;0.05;0.41;0.34;0.14;0.34;0.02;6.57;6.63;6.55;6.61;6.8;0.2;0.0;0.0;-2.9;-1.8;0.9;141.56;54.5;28.65;72.37;101.29;114.08;53.78;127.47;4.996
13/10/2005;2.15;1.13;10.4;4.45;17.1;3.06;0.6078600000000001;0.248;1.68;0.49;1.68;0.791;101.96521739130435;6.14;0.48;0.21;0.79;0.82;-0.03;0.23;0.5274;0.04;0.39;0.33;0.23;0.38;0.03;6.86;6.91;6.8;6.9;6.94;0.0;0.2;0.0;15.3;15.4;17.1;141.56;54.5;28.66;72.37;101.29;114.08;53.78;127.47;4.907
14/10/2005;2.12;1.13;10.7;4.44;17.8;3.05;0.6055200000000001;0.261;1.76;0.363;1.76;0.152;102.2;5.94;0.48;0.21;0.79;0.82;-0.01;0.23;0.5268;0.05;0.4;0.31;0.06;0.4;0.01;7.28;7.45;7.05;7.44;7.1;0.2;0.2;0.0;15.7;14.7;15.8;141.56;54.48;28.66;72.37;101.29;114.06;53.76;127.46;4.851
15/10/2005;2.02;1.14;12.1;4.43;18.1;2.99;0.60318;0.252;1.66;0.362;1.66;0.159;102.43478260869566;5.74;0.47;0.21;0.82;0.82;0.0;0.23;0.5262;0.04;0.39;0.31;0.07;0.4;0.0;7.68;7.82;7.25;7.8;7.41;0.2;0.0;0.0;8.8;10.3;14.2;141.56;54.48;28.66;72.37;101.29;114.03;53.76;127.45;4.857
16/10/2005;2.01;1.16;12.1;4.3;18.9;3.02;0.60084;0.245;1.99;0.36;1.99;0.264;102.66956521739131;5.96;0.47;0.22;0.82;0.81;0.03;0.23;0.5256000000000001;0.04;0.42;0.31;0.11;0.4;0.02;7.88;8.21;7.59;8.13;7.74;1.0;3.8;2.2;10.2;12.9;12.5;141.53;54.46;28.66;72.37;101.29;114.01;53.76;127.46;4.897
17/10/2005;2.14;1.15;12.8;4.35;18.1;2.99;0.5985;0.243;1.73;0.359;1.73;0.159;102.90434782608696;6.14;0.48;0.22;0.83;0.81;-0.01;0.23;0.525;0.04;0.39;0.31;0.07;0.41;0.03;8.03;8.24;7.74;8.19;7.95;0.0;0.0;0.0;8.2;8.1;12.8;141.53;54.46;28.66;72.37;101.29;114.03;53.76;127.46;4.898
18/10/2005;2.32;1.27;12.4;4.54;18.5;3.05;0.59616;0.27;1.91;0.468;1.91;0.435;103.1391304347826;6.0;0.49;0.25;0.82;0.82;0.01;0.23;0.5244;0.05;0.41;0.33;0.15;0.41;0.02;8.16;8.15;7.85;8.2;8.02;4.8;6.6;5.2;9.2;10.1;10.9;141.52;54.46;28.66;72.39;101.29;113.99;53.76;127.46;4.936
19/10/2005;2.36;1.43;13.7;5.17;20.1;3.09;0.59382;0.347;2.53;0.417;2.53;0.43;103.37391304347825;6.29;0.49;0.27;0.85;0.85;0.06;0.24;0.5238;0.06;0.47;0.32;0.15;0.43;0.03;8.21;8.16;7.95;8.25;8.16;4.0;4.2;3.8;11.6;12.3;13.7;141.52;54.45;28.66;72.39;101.29;114.01;53.76;127.45;5.036
